customerId,recommendedProducts
1069,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013
1113,4711686006090|4710998000802|4710731060124|4710363382045|4710032601194|4710015103370|4711128668787|4710960892077|4710247005206|4710467221516
1823,4712425010255|20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068
6668,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013
10801,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013
16049,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013
16766,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013
16773,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013
16803,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013
18173,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013
18524,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013
18821,4711686006090|4710998000802|4710731060124|4710363382045|4710032601194|4710015103370|4711128668787|4710960892077|4710247005206|4710467221516
19545,4711686006090|4710998000802|4710731060124|4710363382045|4710032601194|4710015103370|4711128668787|4710960892077|4710247005206|4710467221516
19750,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013
19873,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013
20220,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013
20459,4711039232190|8712045000199|4710088490247|4710036005608|4710011430524|4710011430517|4710250440186|4710011417099|4710008242123|4710734000318
20596,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013
20695,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013
20794,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013
20848,4711686006090|4710998000802|4710731060124|4710363382045|4710032601194|4710015103370|4711128668787|4710960892077|4710247005206|4710467221516
21432,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013
21449,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013
21647,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013
21678,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013
21951,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013
22729,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013
