customerId,recommendedProducts,bonuses
4,1.Кус-кус Bravolli 350 г — 98₽ (-24₽)\n 2. Масло оливковое Olivari Extra virgin 500 мл — 279₽ (-230₽) \n 3. Капсулы для стирки Color Tide, 12 шт — 219₽ (-56₽), 576
1113,4711686006090|4710998000802|4710731060124|4710363382045|4710032601194|4710015103370|4711128668787|4710960892077|4710247005206|4710467221516,372
1823,4712425010255|20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068,541
6668,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,495
10801,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,313
16049,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,285
16766,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,223
16773,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,578
16803,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,338
18173,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,534
18524,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,558
18821,4711686006090|4710998000802|4710731060124|4710363382045|4710032601194|4710015103370|4711128668787|4710960892077|4710247005206|4710467221516,307
19545,4711686006090|4710998000802|4710731060124|4710363382045|4710032601194|4710015103370|4711128668787|4710960892077|4710247005206|4710467221516,367
19750,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,307
19873,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,532
20220,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,29
20459,4711039232190|8712045000199|4710088490247|4710036005608|4710011430524|4710011430517|4710250440186|4710011417099|4710008242123|4710734000318,274
20596,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,496
20695,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,569
20794,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,21
20848,4711686006090|4710998000802|4710731060124|4710363382045|4710032601194|4710015103370|4711128668787|4710960892077|4710247005206|4710467221516,81
21432,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,119
21449,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,443
21647,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,364
21678,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,23
21951,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,219
22729,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,485
22736,4711686006090|4710998000802|4710731060124|4710363382045|4710032601194|4710015103370|4711128668787|4710960892077|4710247005206|4710467221516,21
22903,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,84
22927,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,409
22934,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,550
23146,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,337
23207,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,254
23245,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,427
23474,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,0
23672,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,192
23795,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,118
23863,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,82
24532,20451042|20424183|20415723|20406349|20370688|20333225|20332419|20301149|20246068|20246013,327
25324,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,507
25362,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,519
25515,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,442
25553,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,500
25577,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,359
25683,4710126152007|4710095958006|4718057701769|4714276280061|20424183|20415723|20406349|20370688|20333225|20332419,67
25805,4711686006090|4710998000802|4710731060124|4710363382045|4710032601194|4710015103370|4711128668787|4710960892077|4710247005206|4710467221516,519
25973,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,249
26062,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,458
26321,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,297
26468,4711686006090|4710998000802|4710731060124|4710363382045|4710032601194|4710015103370|4711128668787|4710960892077|4710247005206|4710467221516,63
26550,4710706902008|20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068,552
26666,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,428
26789,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,73
26925,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,44
27199,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,7
27298,4711686006090|4710998000802|4710731060124|4710363382045|4710032601194|4710015103370|4711128668787|4710960892077|4710247005206|4710467221516,564
27335,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,353
27632,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,173
28547,4712278884263|4711634000965|47100312|4711686006090|4710998000802|4710731060124|4710363382045|4710247005206|4710032601194|4710015103370,468
28769,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,486
29117,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,515
29377,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,17
29421,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,282
29964,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,347
30281,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,42
31929,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,335
32100,4710015103288|4710543310059|20451042|20424183|20415723|20370688|20333225|20332419|20307585|20301149,429
32674,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,464
32827,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,153
32896,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,360
33091,4711686006090|4710998000802|4710731060124|4710363382045|4710032601194|4710015103370|4711128668787|4710960892077|4710247005206|4710467221516,544
33107,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,519
33169,4711686006090|4710998000802|4710731060124|4710363382045|4710032601194|4710015103370|4711128668787|4710960892077|4710247005206|4710467221516,572
33770,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,266
33862,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,327
34845,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,477
35996,4711686006090|4710998000802|4710731060124|4710363382045|4710032601194|4710015103370|4711128668787|4710960892077|4710247005206|4710467221516,574
36450,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,136
38317,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,574
38744,20451042|20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068,392
38836,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,195
39642,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,253
39932,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,451
40068,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,336
40181,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,254
40266,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,382
40488,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,186
40907,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,284
41041,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,326
41133,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,353
41171,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,139
41263,4712278884263|4711634000965|47100312|4711686006090|4710998000802|4710731060124|4710363382045|4710247005206|4710032601194|4710015103370,167
41928,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,382
42093,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,309
42208,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,551
42666,4719090701051|20307585|4714981010038|20424183|20415723|20406349|20370688|20333225|20332419|20301149,357
42949,4711686006090|4710998000802|4710731060124|4710363382045|4710032601194|4710015103370|4711128668787|4710960892077|4710247005206|4710467221516,441
42963,4711686006090|4710998000802|4710731060124|4710363382045|4710032601194|4710015103370|4711128668787|4710960892077|4710247005206|4710467221516,235
43267,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,216
43359,4711686006090|4710998000802|4710731060124|4710363382045|4710032601194|4710015103370|4711128668787|4710960892077|4710247005206|4710467221516,453
43472,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,347
43502,20451042|20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246013,111
43748,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,488
43816,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,542
43830,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,35
43854,4711686006090|4710998000802|4710731060124|4710363382045|4710032601194|4710015103370|4711128668787|4710960892077|4710247005206|4710467221516,169
43861,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,277
43915,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,91
44073,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,12
44363,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,580
45377,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,570
45902,4710160013074|4710036006223|4710015103479|4710883000061|20424183|20415723|20406349|20370688|20333225|20332419,363
45957,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,88
45971,20451042|20424183|20415723|20370688|20333225|20332419|20307585|20301149|20246068|20246013,93
45995,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,132
46015,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,541
46022,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,268
46053,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,430
46145,4711686006090|4710998000802|4710731060124|4710363382045|4710032601194|4710015103370|4711128668787|4710960892077|4710247005206|4710467221516,465
46466,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,241
46633,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,565
46855,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,158
46909,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,231
46923,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,291
47067,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,441
47340,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,469
47364,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,174
47395,20424183|20415723|20406349|20370688|20333225|20332419|20307585|20301149|20246068|20246013,191
